 # i   E
    1   9.761005E+06
    2   6.858049E+02
    3   1.356316E+05
    4   3.001049E+05
    5   4.183391E+05
    6   7.079817E+02
    7   7.006961E+04
    8   3.587225E+04
    9   4.752049E+03
   10   1.854059E+04
