# r/sigma   g(r)
0.067960 0.000000
0.203680 0.000000
0.339400 0.000000
0.475120 0.000000
0.610839 0.000000
0.746559 0.000000
0.882279 0.019621
1.017999 1.377515
1.153719 2.347848
1.289439 1.840515
1.425159 1.454293
1.560879 1.251306
1.696599 1.128867
1.832318 1.072658
1.968038 1.057784
2.103758 1.038175
2.239478 1.019322
2.375198 1.000162
2.510918 1.000620
2.646638 0.985818
2.782358 0.993259
2.918077 0.999084
3.053797 0.998452
3.189517 0.995397
3.325237 1.003264
3.460957 0.994110
3.596677 0.993193
3.732397 0.993706
3.868117 0.998270
4.003836 0.991234
4.139556 0.991537
4.275276 0.994889
4.410996 0.994183
4.546716 0.989583
4.682436 0.994572
4.818156 0.985887
4.953876 0.986971
5.089596 0.990414
5.225315 0.992492
5.361035 0.987602
5.496755 0.994405
5.632475 0.989621
5.768195 0.986651
5.903915 0.988488
6.039635 0.989559
6.175355 0.992034
6.311074 0.990060
6.446794 0.989588
6.582514 0.987576
6.718234 0.988619
6.853954 0.988064
6.989674 0.991041
7.125394 0.993220
7.261114 0.995054
7.396833 0.994799
7.532553 0.996358
7.668273 0.996372
7.803993 0.994358
7.939713 0.996404
8.075433 0.994402
8.211153 0.996278
8.346873 0.996358
8.482593 0.995927
8.618312 0.993580
8.754032 0.995490
8.889752 0.999125
9.025472 0.998523
9.161192 0.998516
9.296912 0.997050
9.432632 0.998885
9.568352 0.999566
9.704071 0.997925
9.839791 0.999442
9.975511 0.998160
10.111231 1.001159
10.246951 0.999566
10.382671 0.999962
10.518391 0.998914
10.654111 0.998555
10.789830 0.996677
10.925550 0.996548
11.061270 0.996404
11.196990 0.997414
11.332710 0.993960
11.468430 0.994347
11.604150 0.994668
11.739870 0.996905
11.875590 0.996099
12.011309 0.995589
12.147029 0.995562
12.282749 0.995241
12.418469 0.994994
12.554189 0.993876
12.689909 0.994692
12.825629 0.993760
12.961349 0.993855
13.097068 0.994115
13.232788 0.994979
13.368508 0.995390
13.504228 0.995708
