# r/sigma   g(r)
0.014720 0.000000
0.043959 0.000000
0.073198 0.000000
0.102437 0.000000
0.131676 0.000000
0.160915 0.000000
0.190155 0.000000
0.219394 0.000000
0.248633 0.000000
0.277872 0.000000
0.307111 0.000000
0.336351 0.000000
0.365590 0.000000
0.394829 0.000000
0.424068 0.000000
0.453307 0.000000
0.482546 0.000000
0.511786 0.000000
0.541025 0.000000
0.570264 0.000000
0.599503 0.000000
0.628742 0.000000
0.657981 0.000000
0.687221 0.000000
0.716460 0.000000
0.745699 0.000000
0.774938 0.000000
0.804177 0.000000
0.833416 0.000004
0.862656 0.000124
0.891895 0.007290
0.921134 0.105835
0.950373 0.562811
0.979612 1.478249
1.008852 2.492516
1.038091 3.137476
1.067330 3.286125
1.096569 3.053596
1.125808 2.636127
1.155047 2.171313
1.184287 1.742983
1.213526 1.379474
1.242765 1.087643
1.272004 0.865472
1.301243 0.699302
1.330482 0.585085
1.359722 0.509340
1.388961 0.465639
1.418200 0.448651
1.447439 0.448323
1.476678 0.464498
1.505918 0.488042
1.535157 0.516659
1.564396 0.547159
1.593635 0.576800
1.622874 0.609585
1.652113 0.645492
1.681353 0.694654
1.710592 0.763583
1.739831 0.852880
1.769070 0.961095
1.798309 1.088559
1.827548 1.216711
1.856788 1.332978
1.886027 1.415839
1.915266 1.463450
1.944505 1.469681
1.973744 1.441833
2.002983 1.394310
2.032223 1.331967
2.061462 1.267816
2.090701 1.204159
2.119940 1.142390
2.149179 1.082096
2.178419 1.019589
2.207658 0.963415
2.236897 0.907180
2.266136 0.858797
2.295375 0.820627
2.324614 0.792018
2.353854 0.777183
2.383093 0.775150
2.412332 0.783297
2.441571 0.799068
2.470810 0.818238
2.500049 0.839219
2.529289 0.860571
2.558528 0.879894
2.587767 0.899288
2.617006 0.918911
2.646245 0.940056
2.675485 0.964375
2.704724 0.992447
2.733963 1.024857
2.763202 1.061778
2.792441 1.103457
2.821680 1.144740
2.850920 1.183931
2.880159 1.212891
2.909398 1.227709
