# r/sigma   g(r)
0.031598 0.000000
0.094593 0.000000
0.157588 0.000000
0.220583 0.000000
0.283578 0.000000
0.346573 0.000000
0.409568 0.000000
0.472563 0.000000
0.535558 0.000000
0.598553 0.000000
0.661548 0.000000
0.724543 0.000000
0.787538 0.000000
0.850533 0.000052
0.913528 0.031911
0.976523 0.598465
1.039518 1.784396
1.102513 2.337737
1.165508 2.263684
1.228503 1.998971
1.291499 1.736589
1.354494 1.527101
1.417489 1.387806
1.480484 1.281205
1.543479 1.200965
1.606474 1.153110
1.669469 1.118397
1.732464 1.090882
1.795459 1.072168
1.858454 1.067351
1.921449 1.063812
1.984444 1.063325
2.047439 1.073442
2.110434 1.079005
2.173429 1.076776
2.236424 1.073512
2.299419 1.066863
2.362414 1.057509
2.425409 1.045868
2.488404 1.036549
2.551400 1.031413
2.614395 1.028450
2.677390 1.023934
2.740385 1.019054
2.803380 1.016282
2.866375 1.012775
2.929370 1.010074
2.992365 1.010186
3.055360 1.012414
3.118355 1.011434
3.181350 1.007171
3.244345 1.007394
3.307340 1.008881
3.370335 1.005066
3.433330 1.002227
3.496325 1.000975
3.559320 1.000193
3.622315 1.000496
3.685310 1.001503
3.748305 0.998003
3.811301 0.997343
3.874296 0.997131
3.937291 0.996280
4.000286 0.993821
4.063281 0.994212
4.126276 0.996036
4.189271 0.995674
4.252266 0.992800
4.315261 0.993529
4.378256 0.992445
4.441251 0.995307
4.504246 0.994469
4.567241 0.992053
4.630236 0.991582
4.693231 0.990171
4.756226 0.990953
4.819221 0.989908
4.882216 0.991622
4.945211 0.990786
5.008206 0.990200
5.071202 0.988654
5.134197 0.988771
5.197192 0.988328
5.260187 0.987617
5.323182 0.986831
5.386177 0.989286
5.449172 0.989071
5.512167 0.989900
5.575162 0.987964
5.638157 0.986961
5.701152 0.987978
5.764147 0.987152
5.827142 0.989066
5.890137 0.987852
5.953132 0.989417
6.016127 0.986290
6.079122 0.987388
6.142117 0.987924
6.205112 0.987425
6.268107 0.988926
